,0
1133,AKROUSDT
1134,KP3RBNB
1135,KP3RBUSD
1136,AXSBNB
1137,AXSBTC
1138,AXSBUSD
1139,AXSUSDT
1140,HARDBNB
1141,HARDBTC
1142,HARDBUSD
1143,HARDUSDT
1144,BNBBRL
1145,LTCEUR
1146,RENBTCBTC
1147,RENBTCETH
1148,DNTBUSD
1149,DNTUSDT
1150,SLPETH
1151,ADAEUR
1152,LTCNGN
1153,CVPETH
1154,CVPBUSD
1155,STRAXBTC
1156,STRAXETH
1157,STRAXBUSD
1158,STRAXUSDT
1159,FORBTC
1160,FORBUSD
1161,UNFIBNB
1162,UNFIBTC
1163,UNFIBUSD
1164,UNFIUSDT
1165,FRONTETH
1166,FRONTBUSD
1167,BCHABUSD
1168,ROSEBTC
1169,ROSEBUSD
1170,ROSEUSDT
1171,AVAXTRY
1172,BUSDBRL
1173,AVAUSDT
1174,SYSBUSD
1175,XEMUSDT
1176,HEGICETH
1177,HEGICBUSD
1178,AAVEUPUSDT
1179,AAVEDOWNUSDT
1180,PROMBNB
1181,PROMBUSD
1182,XRPBRL
1183,XRPNGN
1184,SKLBTC
1185,SKLBUSD
1186,SKLUSDT
1187,BCHEUR
1188,YFIEUR
1189,ZILBIDR
1190,SUSDBTC
1191,SUSDETH
1192,SUSDUSDT
1193,COVERETH
1194,COVERBUSD
1195,GLMBTC
1196,GLMETH
1197,GHSTETH
1198,GHSTBUSD
1199,SUSHIUPUSDT
1200,SUSHIDOWNUSDT
1201,XLMUPUSDT
1202,XLMDOWNUSDT
1203,LINKBRL
1204,LINKNGN
1205,LTCRUB
1206,TRXTRY
1207,XLMEUR
1208,DFETH
1209,DFBUSD
1210,GRTBTC
1211,GRTETH
1212,GRTUSDT
1213,JUVBTC
1214,JUVBUSD
1215,JUVUSDT
1216,PSGBTC
1217,PSGBUSD
1218,PSGUSDT
1219,BUSDBVND
1220,USDTBVND
1221,1INCHBTC
1222,1INCHUSDT
1223,REEFBTC
1224,REEFUSDT
1225,OGBTC
1226,OGUSDT
1227,ATMBTC
1228,ATMUSDT
1229,ASRBTC
1230,ASRUSDT
1231,CELOBTC
1232,CELOUSDT
1233,RIFBTC
1234,RIFUSDT
1235,CHZTRY
1236,XLMTRY
1237,LINKGBP
1238,GRTEUR
1239,BTCSTBTC
1240,BTCSTBUSD
1241,BTCSTUSDT
1242,TRUBTC
1243,TRUBUSD
1244,TRUUSDT
1245,DEXEETH
1246,DEXEBUSD
1247,EOSEUR
1248,LTCBRL
1249,USDCBUSD
1250,TUSDBUSD
1251,PAXBUSD
1252,CKBBTC
1253,CKBBUSD
1254,CKBUSDT
1255,TWTBTC
1256,TWTBUSD
1257,TWTUSDT
1258,FIROBTC
1259,FIROETH
1260,FIROUSDT
1261,BETHETH
1262,DOGEEUR
1263,DOGETRY
1264,DOGEAUD
1265,DOGEBRL
1266,DOTNGN
1267,PROSETH
1268,LITBTC
1269,LITBUSD
1270,LITUSDT
1271,BTCVAI
1272,BUSDVAI
1273,SFPBTC
1274,SFPBUSD
1275,SFPUSDT
1276,DOGEGBP
1277,DOTTRY
1278,FXSBTC
1279,FXSBUSD
1280,DODOBTC
1281,DODOBUSD
1282,DODOUSDT
1283,FRONTBTC
1284,EASYBTC
1285,CAKEBTC
1286,CAKEUSDT
1287,BAKEBUSD
1288,UFTETH
1289,UFTBUSD
1290,1INCHBUSD
1291,BANDBUSD
1292,GRTBUSD
1293,IOSTBUSD
1294,OMGBUSD
1295,REEFBUSD
1296,ACMBTC
1297,ACMBUSD
1298,ACMUSDT
1299,AUCTIONBTC
1300,AUCTIONBUSD
1301,PHABTC
1302,PHABUSD
1303,DOTGBP
1304,ADATRY
1305,ADABRL
1306,ADAGBP
1307,TVKBTC
1308,TVKBUSD
1309,BADGERBTC
1310,BADGERBUSD
1311,BADGERUSDT
1312,FISBTC
1313,FISBUSD
1314,FISUSDT
1315,DOTBRL
1316,ADAAUD
1317,HOTTRY
1318,EGLDEUR
1319,OMBTC
1320,OMBUSD
1321,OMUSDT
1322,PONDBTC
1323,PONDBUSD
1324,PONDUSDT
1325,DEGOBTC
1326,DEGOBUSD
1327,DEGOUSDT
1328,AVAXEUR
1329,BTTTRY
1330,CHZBRL
1331,UNIEUR
1332,ALICEBTC
1333,ALICEBUSD
1334,ALICEUSDT
1335,CHZBUSD
1336,CHZEUR
1337,CHZGBP
1338,BIFIBNB
1339,BIFIBUSD
1340,LINABTC
1341,LINABUSD
1342,LINAUSDT
1343,ADARUB
1344,ENJBRL
1345,ENJEUR
1346,MATICEUR
1347,NEOTRY
1348,PERPBTC
1349,PERPBUSD
1350,PERPUSDT
1351,RAMPBTC
1352,RAMPBUSD
1353,RAMPUSDT
1354,SUPERBTC
1355,SUPERBUSD
1356,SUPERUSDT
1357,CFXBTC
1358,CFXBUSD
1359,CFXUSDT
1360,ENJGBP
1361,EOSTRY
1362,LTCGBP
1363,LUNAEUR
1364,RVNTRY
1365,THETAEUR
1366,XVGBUSD
1367,EPSBTC
1368,EPSBUSD
1369,EPSUSDT
1370,AUTOBTC
1371,AUTOBUSD
1372,AUTOUSDT
1373,TKOBTC
1374,TKOBIDR
1375,TKOBUSD
1376,TKOUSDT
1377,PUNDIXETH
1378,PUNDIXUSDT
1379,BTTBRL
1380,BTTEUR
1381,HOTEUR
1382,WINEUR
1383,TLMBTC
1384,TLMBUSD
1385,TLMUSDT
1386,1INCHUPUSDT
1387,1INCHDOWNUSDT
1388,BTGBUSD
1389,BTGUSDT
1390,HOTBUSD
1391,BNBUAH
1392,ONTTRY
1393,VETEUR
1394,VETGBP
1395,WINBRL
1396,MIRBTC
1397,MIRBUSD
1398,MIRUSDT
1399,BARBTC
1400,BARBUSD
1401,BARUSDT
1402,FORTHBTC
1403,FORTHBUSD
1404,FORTHUSDT
1405,CAKEGBP
1406,DOGERUB
1407,HOTBRL
1408,WRXEUR
1409,EZBTC
1410,EZETH
1411,BAKEUSDT
1412,BURGERBUSD
1413,BURGERUSDT
1414,SLPBUSD
1415,SLPUSDT
1416,TRXAUD
1417,TRXEUR
1418,VETTRY
